scene,time,tempo_bpm,audio_energy_raw,A,mfcc_mean,spectral_centroid,zcr,audio_emotion,audio_confidence,audio_emotion_raw_score,audio_mood
53,01:16.83-01:17.70,136.0,0.178838,1.0,9.7983,2061.85,0.063001,angry,0.4063,0.4063,intense
54,01:17.70-01:18.58,136.0,0.08119,0.5413,1.2436,2252.56,0.110557,happy,0.4286,0.4286,suspense
55,01:18.58-01:19.37,136.0,0.170021,1.0,9.2964,2040.98,0.064104,angry,0.4063,0.4063,intense
56,01:19.37-01:20.04,136.0,0.175082,1.0,10.2459,2094.29,0.048609,angry,0.4483,0.4483,intense
57,01:20.04-01:21.58,136.0,0.180458,1.0,9.2817,1686.62,0.040593,angry,0.3714,0.3714,intense
58,01:21.58-01:22.50,136.0,0.128084,0.8539,5.0329,2073.46,0.052979,angry,0.4483,0.4483,intense
59,01:22.50-01:23.29,136.0,0.158768,1.0,6.7151,1655.32,0.037988,angry,0.3514,0.3514,intense
60,01:23.29-01:24.54,136.0,0.147782,0.9852,5.676,1488.71,0.032037,angry,0.3514,0.3514,intense
61,01:24.54-01:25.59,136.0,0.113045,0.7536,-1.3237,1778.13,0.033583,angry,0.3514,0.3514,intense
62,01:25.59-01:27.30,136.0,0.022194,0.148,-13.056,3331.63,0.187368,happy,0.2449,0.2449,suspense
63,01:27.30-01:28.00,136.0,0.007857,0.0524,-23.9821,2238.15,0.113281,happy,0.2667,0.2667,suspense
64,01:28.00-01:29.34,136.0,0.021091,0.1406,-12.3316,2180.05,0.118644,happy,0.2647,0.2647,suspense
65,01:29.34-01:30.13,136.0,0.023111,0.1541,-15.5736,3519.35,0.229381,happy,0.2264,0.2264,suspense
66,01:30.13-01:31.13,136.0,0.051086,0.3406,0.059,2993.8,0.114946,happy,0.4186,0.4186,suspense
67,01:31.13-01:32.01,136.0,0.192448,1.0,9.7002,1549.82,0.031006,angry,0.3514,0.3514,intense
68,01:32.01-01:32.88,136.0,0.17181,1.0,9.6258,1697.73,0.051295,angry,0.3714,0.3714,intense
69,01:32.88-01:33.76,136.0,0.178736,1.0,9.4835,1648.94,0.035953,angry,0.3514,0.3514,intense
70,01:33.76-01:34.43,136.0,0.195384,1.0,10.3062,1747.73,0.041235,angry,0.3714,0.3714,intense
71,01:34.43-01:35.14,136.0,0.168725,1.0,9.5735,2497.37,0.076014,happy,0.3684,0.3684,intense
72,01:35.14-01:36.05,136.0,0.170366,1.0,9.429,1900.23,0.045422,angry,0.4062,0.4062,intense
73,01:36.05-01:37.31,136.0,0.217437,1.0,10.9039,2039.71,0.049814,angry,0.4483,0.4483,intense
74,01:37.31-01:38.10,136.0,0.170787,1.0,7.9363,2205.08,0.057854,happy,0.4375,0.4375,intense
75,01:38.10-01:38.64,136.0,0.047002,0.3133,-3.3181,1546.67,0.046916,happy,0.5172,0.5172,suspense
76,01:38.64-01:39.47,136.0,0.051856,0.3457,-4.3444,2255.41,0.084215,happy,0.5294,0.5294,suspense
77,01:39.47-01:41.02,136.0,0.079296,0.5286,-0.2604,1737.39,0.068972,happy,0.375,0.375,suspense
78,01:41.02-01:43.69,136.0,0.019616,0.1308,-14.5906,1889.58,0.077276,happy,0.2571,0.2571,suspense
79,01:43.69-01:44.56,136.0,0.172528,1.0,9.8219,2647.38,0.084486,angry,0.3409,0.3409,intense
80,01:44.56-01:45.48,136.0,0.209382,1.0,11.4755,2970.6,0.113977,angry,0.3958,0.3958,intense
81,01:45.48-01:46.73,136.0,0.137872,0.9191,6.0286,2679.22,0.095613,angry,0.3409,0.3409,intense
82,01:46.73-01:50.49,172.27,0.020852,0.139,-20.0341,2890.87,0.1802,happy,0.2264,0.2264,suspense
83,01:50.49-01:52.78,136.0,0.124327,0.8288,3.8517,2562.41,0.084063,angry,0.3409,0.3409,intense
84,01:52.78-01:53.91,136.0,0.063885,0.4259,-3.8588,1991.82,0.075953,happy,0.4167,0.4167,suspense
85,01:53.91-01:55.37,136.0,0.055323,0.3688,-4.3059,2708.51,0.08276,happy,0.4286,0.4286,suspense
86,01:55.37-01:56.99,136.0,0.037862,0.2524,-4.7529,2793.25,0.114904,happy,0.4737,0.4737,suspense
87,01:56.99-01:58.20,136.0,0.051588,0.3439,-3.7224,2164.3,0.070985,happy,0.5172,0.5172,suspense
88,01:58.20-01:59.08,136.0,0.049289,0.3286,-4.8628,2367.24,0.090975,happy,0.5294,0.5294,suspense
89,01:59.08-02:00.08,136.0,0.045524,0.3035,-3.5762,2102.55,0.059271,happy,0.6522,0.6522,suspense
90,02:00.08-02:07.50,136.0,0.052196,0.348,-10.9533,3245.06,0.210085,happy,0.3636,0.3636,suspense
91,02:07.50-02:22.50,117.45,1.6e-05,0.0001,-79.9963,38.09,0.000127,sad,0.3889,0.3889,suspense
92,02:22.50-02:27.73,0.0,0.0,0.0,-87.0285,0.0,0.0,sad,0.5556,0.5556,calm
