scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
32,00:50.05-00:50.80,Romance,0.8031,True,0.2663,0.5885,0.5113,0.0,0.37,Low,emotional,happy,0.3846,0.3846,right,unknown,False,"laptop, person",136.0,0.0621,1422.32,0.8031
33,00:50.80-00:53.01,Emotional,0.7757,True,0.2442,0.5347,0.3264,0.0,0.31,Low,suspense,happy,0.4412,0.4412,left,unknown,False,person,136.0,1.3533,1986.09,0.7757
34,00:53.01-00:55.01,Comedy,0.4554,True,0.3662,0.6672,0.529,0.0,0.43,Medium,emotional,angry,0.3611,0.3611,right,unknown,False,"laptop, person",136.0,3.0398,2119.03,0.4554
35,00:55.01-00:56.47,Emotional,0.558,True,0.0212,0.5804,0.4258,0.9809,0.41,Medium,emotional,happy,0.4615,0.4615,left,angry,True,"chair, person",136.0,-5.6445,2240.31,0.558
36,00:56.47-00:57.60,Dialogue,0.7231,True,0.1237,0.4098,0.5199,0.0,0.27,Low,suspense,happy,0.3478,0.3478,right,unknown,False,"laptop, person",136.0,-25.2131,2692.26,0.7231
37,00:57.60-00:59.60,Emotional,0.7063,True,0.2042,0.3744,0.3773,0.0,0.26,Low,suspense,happy,0.381,0.381,left,unknown,False,person,136.0,-28.836,2463.97,0.7063
38,00:59.60-01:01.81,Unknown,0.2886,False,0.0951,0.701,0.4783,0.0,0.34,Low,intense,angry,0.2927,0.2927,right,unknown,False,"laptop, person",136.0,-11.5563,1899.08,0.2886
39,01:01.81-01:02.81,Romance,0.8755,True,0.0212,0.6101,0.5052,0.0,0.29,Low,emotional,happy,0.3488,0.3488,right,unknown,False,car,136.0,3.7851,1878.26,0.8755
40,01:02.81-01:04.36,Romance,0.8383,True,0.4383,0.4844,0.5136,0.0,0.4,Medium,suspense,happy,0.4412,0.4412,left,unknown,False,"person, tie",136.0,0.4642,1758.45,0.8383
41,01:04.36-01:05.27,Romance,0.5332,True,0.3492,0.4059,0.505,0.0,0.34,Low,suspense,happy,0.4412,0.4412,left,unknown,False,"bottle, person",136.0,0.1321,2185.94,0.5332
42,01:05.27-01:05.98,Emotional,0.7852,True,0.0837,0.3396,0.6101,0.8977,0.39,Low,suspense,happy,0.5294,0.5294,left,sad,True,"chair, person, tv",136.0,-6.4332,2409.04,0.7852
43,01:05.98-01:06.90,Emotional,0.4005,True,0.1295,0.4285,0.3763,0.7368,0.36,Low,suspense,happy,0.4615,0.4615,left,fear,True,person,136.0,-1.1862,2484.7,0.4005
44,01:06.90-01:08.65,Comedy,0.6244,True,0.0921,0.9079,0.5451,0.9939,0.56,Medium,intense,angry,0.3409,0.3409,right,sad,True,"person, tv",136.0,6.6868,2545.03,0.6244
45,01:08.65-01:09.86,Unknown,0.39,False,0.2356,0.4752,0.3356,0.0,0.29,Low,suspense,happy,0.3529,0.3529,left,unknown,False,person,136.0,1.8797,5159.88,0.39
46,01:09.86-01:10.57,Dialogue,0.4651,True,0.0493,0.7525,0.3665,0.0,0.32,Low,intense,angry,0.3654,0.3654,right,unknown,False,person,136.0,2.8469,3602.43,0.4651
47,01:10.57-01:11.45,Romance,0.8269,True,0.0836,0.4907,0.4488,0.0,0.27,Low,suspense,happy,0.4167,0.4167,left,unknown,False,"chair, person",136.0,2.012,2186.49,0.8269
48,01:11.45-01:12.20,Emotional,0.5711,True,0.1656,0.1884,0.3763,0.0,0.19,Low,suspense,happy,0.2812,0.2812,right,unknown,False,person,136.0,-12.0566,1421.81,0.5711
49,01:12.20-01:12.91,Emotional,0.536,True,0.0727,0.0465,0.3779,0.0,0.11,Low,suspense,sad,0.3684,0.3684,left,unknown,False,person,136.0,-18.444,491.94,0.536
50,01:12.91-01:15.08,Romance,0.7477,True,0.1326,0.1939,0.3758,0.0,0.18,Low,suspense,sad,0.3077,0.3077,right,unknown,False,person,136.0,-15.6406,1471.39,0.7477
51,01:15.08-01:16.12,Unknown,0.3961,False,0.1495,1.0,0.0,0.0,0.35,Low,intense,angry,0.4062,0.4062,left,unknown,False,,136.0,5.5531,1981.67,0.3961
52,01:16.12-01:16.83,Comedy,0.8276,True,0.2094,1.0,0.8454,0.0,0.54,Medium,intense,angry,0.4063,0.4063,right,unknown,False,"car, person",136.0,9.6271,2020.03,0.8276
