scene,time,tempo_bpm,audio_energy_raw,A,mfcc_mean,spectral_centroid,zcr,audio_emotion,audio_confidence,audio_emotion_raw_score,audio_mood
100,01:59.62-02:00.45,143.55,0.160595,1.0,3.9121,1954.25,0.037123,angry,0.3824,0.3824,intense
101,02:00.45-02:01.33,143.55,0.157879,1.0,1.12,1975.19,0.056075,angry,0.4062,0.4062,intense
102,02:01.33-02:02.37,143.55,0.169514,1.0,3.1547,1769.79,0.052105,angry,0.3714,0.3714,intense
103,02:02.37-02:03.50,143.55,0.243469,1.0,11.072,2544.1,0.066506,happy,0.359,0.359,intense
104,02:03.50-02:04.75,143.55,0.237048,1.0,11.2253,2525.46,0.06514,happy,0.359,0.359,intense
105,02:04.75-02:05.88,143.55,0.205417,1.0,6.4119,2141.52,0.04547,angry,0.4483,0.4483,intense
106,02:05.88-02:06.92,143.55,0.11188,0.7459,-1.2184,2241.71,0.080056,angry,0.3409,0.3409,intense
107,02:06.92-02:08.09,143.55,0.117567,0.7838,1.0117,2310.23,0.107872,angry,0.375,0.375,intense
108,02:08.09-02:08.75,143.55,0.162479,1.0,8.5997,2217.91,0.127542,angry,0.375,0.375,intense
109,02:08.75-02:09.84,143.55,0.234026,1.0,9.6439,2049.89,0.0478,angry,0.4483,0.4483,intense
110,02:09.84-02:10.76,143.55,0.108555,0.7237,-1.6822,1611.08,0.077832,angry,0.2889,0.2889,intense
111,02:10.76-02:11.34,143.55,0.161556,1.0,1.0429,1847.21,0.073486,angry,0.3421,0.3421,intense
112,02:11.34-02:12.34,143.55,0.329036,1.0,13.8522,2318.94,0.064864,happy,0.4,0.4,intense
113,02:12.34-02:13.22,143.55,0.266754,1.0,11.3118,2896.66,0.102269,angry,0.3958,0.3958,intense
114,02:13.22-02:14.13,143.55,0.185151,1.0,6.495,2252.91,0.073596,happy,0.3684,0.3684,intense
115,02:14.13-02:14.68,143.55,0.212989,1.0,6.4506,1951.28,0.047424,angry,0.4062,0.4062,intense
116,02:14.68-02:15.64,143.55,0.284146,1.0,13.0272,2377.19,0.075126,happy,0.3684,0.3684,intense
117,02:15.64-02:16.39,143.55,0.27364,1.0,11.654,2623.0,0.057943,happy,0.3889,0.3889,intense
118,02:16.39-02:18.43,143.55,0.352502,1.0,12.5721,1832.31,0.035897,angry,0.3824,0.3824,intense
119,02:18.43-02:19.85,143.55,0.299215,1.0,11.3304,2199.79,0.050829,angry,0.4483,0.4483,intense
120,02:19.85-02:22.68,143.55,0.289632,1.0,12.729,2527.51,0.076771,happy,0.3333,0.3333,intense
121,02:22.68-02:24.52,143.55,0.267147,1.0,10.833,1532.29,0.046259,angry,0.3714,0.3714,intense
122,02:24.52-02:26.52,143.55,0.05541,0.3694,-12.0947,2552.17,0.143622,happy,0.4211,0.4211,suspense
123,02:26.52-02:29.07,143.55,0.310031,1.0,12.9192,2377.13,0.044172,happy,0.4375,0.4375,intense
124,02:29.07-02:30.65,143.55,0.202639,1.0,5.9208,1844.36,0.042282,angry,0.4062,0.4062,intense
125,02:30.65-02:31.69,143.55,0.134708,0.8981,-2.3408,1821.77,0.047298,angry,0.3824,0.3824,intense
126,02:31.69-02:33.82,143.55,0.139738,0.9316,-0.0158,1817.9,0.070106,angry,0.3421,0.3421,intense
127,02:33.82-02:35.28,143.55,0.147513,0.9834,0.6446,1629.98,0.050184,angry,0.3714,0.3714,intense
128,02:35.28-02:38.03,143.55,0.145058,0.9671,3.2789,1777.2,0.045447,angry,0.3714,0.3714,intense
129,02:38.03-02:38.70,143.55,0.058647,0.391,-5.781,2024.85,0.048845,happy,0.5556,0.5556,suspense
130,02:38.70-02:42.79,184.57,0.06018,0.4012,-9.5707,1525.94,0.044566,happy,0.4194,0.4194,suspense
131,02:42.79-02:44.21,143.55,0.301198,1.0,12.7937,2042.22,0.055829,angry,0.4483,0.4483,intense
132,02:44.21-02:45.83,143.55,0.092911,0.6194,-7.1416,2058.56,0.092815,happy,0.3409,0.3409,emotional
133,02:45.83-02:46.79,143.55,0.260108,1.0,10.8301,2457.11,0.077358,happy,0.3684,0.3684,intense
134,02:46.79-02:48.84,143.55,0.174966,1.0,4.9342,1618.24,0.0317,angry,0.3514,0.3514,intense
