scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
57,01:14.45-01:15.08,Dialogue,0.4402,True,0.0155,1.0,0.4945,0.9742,0.55,Medium,intense,angry,0.3514,0.3514,right,happy,True,"person, vase",143.55,2.7414,1667.8,0.4402
58,01:15.08-01:15.74,Dialogue,0.9616,True,0.0431,0.8352,0.6704,0.9992,0.55,Medium,intense,angry,0.3714,0.3714,left,happy,True,"chair, cup, fork, person",143.55,2.0405,1525.15,0.9616
59,01:15.74-01:16.66,Dialogue,0.6275,True,0.0621,1.0,0.6738,0.9976,0.61,Medium,intense,angry,0.3514,0.3514,left,sad,True,"chair, cup, fork, person",143.55,3.6316,1404.96,0.6275
60,01:16.66-01:17.37,Romance,0.8171,True,0.0951,0.6728,0.4647,0.8183,0.45,Medium,emotional,angry,0.3171,0.3171,right,sad,True,"cup, person",143.55,0.4115,1323.1,0.8171
61,01:17.37-01:18.45,Romance,0.6794,True,0.0304,0.5453,0.4666,0.9762,0.41,Medium,suspense,happy,0.3659,0.3659,left,happy,True,"cup, person",143.55,-2.1574,2165.69,0.6794
62,01:18.45-01:19.54,Romance,0.7198,True,0.0362,0.5861,0.5669,0.0,0.3,Low,emotional,happy,0.439,0.439,left,unknown,False,"chair, dining table, person",143.55,-4.6366,2337.43,0.7198
63,01:19.54-01:20.37,Dialogue,0.7139,True,0.0402,0.5513,0.797,0.9497,0.48,Medium,emotional,happy,0.3673,0.3673,left,sad,True,"bowl, chair, cup, dining table, person",143.55,-3.6117,2901.98,0.7139
64,01:20.37-01:21.62,Comedy,0.8118,True,0.0647,0.6427,0.5465,0.7194,0.43,Medium,emotional,angry,0.3333,0.3333,right,fear,True,"person, toothbrush",143.55,-0.7558,2192.73,0.8118
65,01:21.62-01:22.87,Comedy,0.5454,True,0.212,0.8636,0.3753,0.8097,0.53,Medium,intense,angry,0.3514,0.3514,left,happy,True,person,143.55,2.2459,1651.09,0.5454
66,01:22.87-01:23.79,Romance,0.8433,True,0.1078,1.0,0.3803,0.6489,0.51,Medium,intense,angry,0.3514,0.3514,right,sad,True,person,143.55,9.2219,1120.58,0.8433
67,01:23.79-01:24.38,Comedy,0.5782,True,0.0895,1.0,0.3837,0.6376,0.5,Medium,intense,angry,0.4062,0.4062,right,happy,True,person,143.55,10.4515,1897.17,0.5782
68,01:24.38-01:25.00,Emotional,0.5367,True,0.0727,0.4539,0.5235,0.8515,0.39,Low,suspense,happy,0.4545,0.4545,left,sad,True,"chair, cup, person",143.55,-7.3271,1830.6,0.5367
69,01:25.00-01:25.59,Emotional,0.7038,True,0.1787,0.6463,0.3821,0.7767,0.45,Medium,emotional,happy,0.3409,0.3409,right,sad,True,person,143.55,-7.9834,2025.69,0.7038
70,01:25.59-01:26.92,Comedy,0.4611,True,0.4334,1.0,0.5466,0.3675,0.62,Medium,intense,angry,0.4062,0.4062,left,sad,True,"chair, cup, person",143.55,4.617,1897.82,0.4611
71,01:26.92-01:27.50,Comedy,0.4343,True,0.2034,1.0,0.3737,0.7504,0.56,Medium,intense,angry,0.4483,0.4483,left,sad,True,person,143.55,10.7107,2155.51,0.4343
72,01:27.50-01:28.13,Unknown,0.3121,False,0.3582,1.0,0.5435,0.5684,0.62,Medium,intense,happy,0.4,0.4,right,angry,True,"chair, cup, person",143.55,10.1208,2235.13,0.3121
